epoch,train_loss,val_loss,acc,lr
1,0.010767354407686402,0.020664700493216514,0.5733642578125,0.0001
2,0.0017738370753994043,0.001293612248264253,0.663671875,0.0001
3,0.0011910238827113062,0.0010665057110600174,0.6918701171875,0.0001
4,0.0010477740989616987,0.0009797978214919566,0.7224365234375,0.0001
5,0.0009853071215647187,0.0008985572610981762,0.7447509765625,0.0001
6,0.0009321495943533426,0.0008807904901914299,0.762890625,0.0001
7,0.0009092701247110116,0.0008727346314117313,0.7635498046875,0.0001
8,0.0008780614576111971,0.000894819269888103,0.7489501953125,0.0001
9,0.0008903063174908642,0.0009231820702552795,0.7784423828125,0.0001
10,0.0008847352940144694,0.000903705507516861,0.7273681640625,0.0001
11,0.0008729462093800645,0.0008323914720676839,0.7687255859375,0.0001
12,0.0008561278121884574,0.0008258247165940702,0.7659912109375,0.0001
13,0.0008508974622765726,0.0008122658589854836,0.78076171875,0.0001
14,0.0008420374797424302,0.0008213686407543719,0.768701171875,0.0001
15,0.0008352768266129053,0.0008760178228840232,0.7829833984375,0.0001
16,0.0008574134037851102,0.000871104933321476,0.7742919921875,0.0001
17,0.0008351611296265302,0.0008804037584923208,0.7689208984375,0.0001
18,0.0008332540270533751,0.0008772979257628321,0.75625,0.0001
19,0.0008374461361778561,0.0008367179660126566,0.7817626953125,0.0001
20,0.0008456550236918371,0.0007955142646096647,0.801416015625,0.0001
21,0.0008244952927766876,0.0008646165719255805,0.75732421875,0.0001
22,0.0008443226357816126,0.0008341962820850313,0.7939453125,0.0001
23,0.0008475486339937726,0.0007909196079708636,0.7987548828125,0.0001
24,0.0008145417880520902,0.0008284745272248983,0.8012451171875,0.0001
25,0.0008367472129810432,0.0008114404045045376,0.8001953125,0.0001
26,0.0008197508868761361,0.0008561805123463273,0.800537109375,0.0001
27,0.0008445298113987188,0.0007923932163976133,0.8017822265625,0.0001
28,0.0008253078439421105,0.0008442098507657648,0.80859375,0.0001
29,0.0008117222579047931,0.0007938786293379962,0.8088134765625,0.0001
30,0.0008198990002380345,0.0007651129155419767,0.8056640625,0.0001
31,0.0008065516846148636,0.0009323434438556433,0.77490234375,0.0001
32,0.0008773287289924073,0.0008021263522095979,0.8097412109375,0.0001
33,0.0008451703337910162,0.0007966908975504339,0.8032470703125,0.0001
34,0.0008124176066220654,0.0007852944661863148,0.79423828125,0.0001
35,0.000821423712874424,0.0008341471897438168,0.78115234375,0.0001
36,0.0008350831340067089,0.0008047355455346406,0.8171142578125,0.0001
37,0.0008157482211986048,0.0008391750743612647,0.7664794921875,0.0001
38,0.00082959120944989,0.0008524094126187264,0.794921875,0.0001
39,0.0008388480531390418,0.0007902173791080713,0.7980712890625,0.0001
40,0.0008132127523739738,0.000801640166901052,0.811474609375,0.0001
